XXX,onbekend
GVCU,urnenveld
GVX,urnenveld
GHC,grafheuvel
GHIC,grafheuvel
GHI,grafheuvel
GHX,grafheuvel
GX,graf
GCV,vlakgraf
GIV,vlakgraf
GXV,vlakgraf
GD,dierengraf
GMEG,megalietgraf
IX,infrastructuur
IWEG,weg
IDAM,dam
IGEM,gemaal
IPER,afwateringskanaal / inundatiekanaal / greppel / sloot
IWAT,waterweg (natuurlijk)
IDUI,duiker
IKAN,kanaal
ISLU,sluis
IHAV,haven
ISTE,kade / loswal
IVW,veenweg
IBRU,brug
IDIJ,dijk
PROTO,Protohistorie
ROM,Romeinse Tijd
ROMM,Midden Romeinse Tijd
ROMMA,Midden Romeinse Tijd A
ROMMB,Midden Romeinse Tijd B
ROML,Laat Romeinse Tijd
ROMLB,Laat Romeinse Tijd B
ROMLA,Laat Romeinse Tijd A
ROMV,Vroeg Romeinse Tijd
ROMVA,Vroeg Romeinse Tijd A
ROMVB,Vroeg Romeinse Tijd B
HIST,Historie
RECENT,Recent
NT,Nieuwe Tijd
NTL,Nieuwe Tijd Laat
WO2,Tweede Wereldoorlog
NTM,Nieuwe Tijd Midden
NTV,Nieuwe Tijd Vroeg
ME,Middeleeuwen
MEVOL,Volle Middeleeuwen
MEL,Late Middeleeuwen
MELB,Late Middeleeuwen B
MELA,Late Middeleeuwen A
MEV,Vroege Middeleeuwen
MEVD,Vroege Middeleeuwen D
MEVB,Vroege Middeleeuwen B
MEVA,Vroege Middeleeuwen A
MEVC,Vroege Middeleeuwen C
PREH,Prehistorie
IJZ,IJzertijd
IJZM,Midden IJzertijd
IJZL,Late IJzertijd
IJZV,Vroege IJzertijd
BRONS,Bronstijd
BRONSV,Vroege Bronstijd
BRONSL,Late Bronstijd
BRONSM,Midden Bronstijd
BRONSMB,Midden Bronstijd B
BRONSMA,Midden Bronstijd A
STEEN,Steentijd
NEO,Neolithicum
NEOV,Vroeg Neolithicum
NEOVA,Vroeg Neolithicum A
NEOVB,Vroeg Neolithicum B
NEOL,Laat Neolithicum
NEOLA,Laat Neolithicum A
NEOLB,Laat Neolithicum B
NEOM,Midden Neolithicum
NEOMB,Midden Neolithicum B
NEOMA,Midden Neolithicum A
MESO,Mesolithicum
MESOL,Laat Mesolithicum
MESOV,Vroeg Mesolithicum
MESOM,Midden Mesolithicum
PALEO,Paleolithicum
PALEOV,Vroeg Paleolithicum
PALEOM,Midden Paleolithicum
PALEOL,Laat Paleolithicum
PALEOLB,Laat Paleolithicum B
PALEOLA,Laat Paleolithicum A
